iter	Passed	Remaining
903	1225	130
904	1226	128
905	1227	127
906	1228	125
907	1229	124
908	1231	123
909	1234	122
910	1235	120
911	1237	119
912	1238	117
913	1239	116
914	1240	115
915	1241	113
916	1242	112
917	1243	111
918	1244	109
919	1245	108
920	1248	107
921	1251	105
922	1252	104
923	1253	103
924	1254	101
925	1255	100
926	1256	98
927	1258	97
928	1260	96
929	1264	95
930	1265	93
931	1266	92
932	1268	91
933	1269	89
934	1270	88
935	1271	86
936	1272	85
937	1273	84
938	1274	82
939	1275	81
940	1279	80
941	1281	78
942	1282	77
943	1283	76
944	1284	74
945	1285	73
946	1287	72
947	1288	70
948	1289	69
949	1289	67
950	1290	66
951	1295	65
952	1296	63
953	1297	62
954	1298	61
955	1300	59
956	1301	58
957	1302	57
958	1303	55
959	1304	54
960	1305	52
961	1306	51
962	1309	50
963	1310	48
964	1311	47
965	1312	46
966	1313	44
967	1314	43
968	1315	42
969	1316	40
970	1317	39
971	1318	37
972	1319	36
973	1320	35
974	1321	33
975	1322	32
976	1323	31
977	1324	29
978	1325	28
979	1326	27
980	1327	25
981	1329	24
982	1330	23
983	1331	21
984	1332	20
985	1333	18
986	1334	17
987	1335	16
988	1337	14
989	1338	13
990	1339	12
991	1340	10
992	1341	9
993	1342	8
994	1343	6
995	1344	5
996	1345	4
997	1346	2
998	1347	1
999	1348	0
